Sno,Candidate_Ref,DOJ_Extended,Duration_to_accept_offer,Notice_Period,Offered_Band,Percent_hike_expected_in_CTC,Percent_hike_offered_in_CTC,Percent_difference_CTC,Joining_Bonus,Candidate_relocate_actual,Gender,Candidate_Source,Rex_in_Yrs,Location_ID,Postal_Code,Age,LOB_Id,Domicile_Id
19,2166041,Yes,98,30,E2,50,165.36,76.91,No,No,Male,Agency,8,L001,201301,36,2,D4
20,2172982,No,1,0,E2,30,30,0,No,No,Male,Direct,6,L001,201301,34,2,D13
21,2173730,No,1,30,E1,-13.42,42.86,65,No,No,Male,Direct,1,L003,122107,34,2,D7
22,2175237,No,7,30,E1,221.43,164.29,-17.78,No,No,Male,Direct,2,L001,201301,34,1,D21
23,2175323,No,1,0,E3,42.78,42.78,0,No,Yes,Male,Employee Referral,8,L002,600020,29,2,D6
24,2184108,No,0,30,E1,37.5,37.5,0,No,No,Female,Employee Referral,3,L002,600020,30,1,D19
25,2188014,No,1,0,E2,42.86,42.86,0,No,No,Male,Direct,5,L001,201301,30,2,D11
26,2191237,Yes,83,60,E2,25,25,0,No,No,Male,Direct,5,L001,201301,30,7,D24
27,2194323,No,1,0,E3,114.82,42.86,-33.5,No,No,Male,Direct,6,L001,201301,31,2,D16
28,2205244,No,16,60,E1,41.18,0,-29.17,No,No,Male,Direct,7,L001,201301,31,7,D5
29,2205496,Yes,32,120,E3,50.97,57,4,No,No,Male,Direct,13,L002,600020,40,1,D9
30,2207823,Yes,19,30,,42.85,42.85,0,No,No,Male,Direct,7,L001,201301,28,2,D13
31,2211699,Yes,0,0,E2,23.08,15.38,-6.25,No,No,Male,Employee Referral,6,L002,600020,34,4,D5
32,2214217,No,4,30,E2,-2.17,-2.17,0,No,No,Female,Employee Referral,5,L002,600020,33,1,D24
33,2214446,No,38,45,E2,42.11,42.11,0,No,No,Male,Direct,13,L002,600020,25,4,D21
37,2221643,No,0,30,E3,-14.91,-14.91,0,No,Yes,Male,Employee Referral,15,L001,201301,44,2,D16
38,2221707,Yes,18,90,E2,33.33,211.11,133.33,No,No,Male,Agency,6,L005,500004,23,1,D18
39,2222480,No,24,30,E2,20.48,23.95,2.88,No,No,Male,Direct,6,L002,600020,29,2,D11
40,2222936,Yes,10,60,E3,25,29.17,3.33,No,No,Male,Employee Referral,6,L001,201301,32,2,D19
41,2223040,Yes,53,60,E2,34.64,28.52,-4.55,No,No,Male,Direct,6,L004,560034,30,7,D4
43,2224425,No,0,0,E3,89.58,89.58,0,No,No,Male,Direct,20,L004,560034,44,1,D3
44,2224426,Yes,5,0,E2,28.57,28.57,0,Yes,Yes,Male,Employee Referral,6,L004,560034,33,7,D15
45,2225685,No,0,0,E3,7.69,-5.79,-12.52,No,No,Male,Employee Referral,13,L001,201301,41,2,D5
46,2226215,No,4,30,E1,-14.58,-14.58,0,No,No,Male,Direct,2,L001,201301,28,2,D14
47,2227339,Yes,46,30,E3,22.22,260,194.55,No,No,Male,Employee Referral,13,L002,600020,36,1,D7
48,2227431,Yes,2,75,E3,42.85,42.85,0,No,Yes,Male,Employee Referral,8,L001,201301,30,2,D19
49,2233506,No,1,90,E2,42.85,42.85,0,No,No,Male,Employee Referral,6,L001,201301,31,2,D20
51,2237763,Yes,31,90,E2,7.96,-55.75,-59.02,No,No,Male,Employee Referral,6,L001,201301,32,2,D7
52,2237899,Yes,4,0,E2,42.86,42.86,0,No,No,Female,Employee Referral,10,L001,201301,34,2,D19
53,2238751,Yes,54,60,E3,35,31,-2.96,No,No,Male,Employee Referral,9,L001,201301,34,2,D6
54,2238809,No,33,75,E3,31.82,31.82,0,No,No,Male,Employee Referral,7,L001,201301,20,2,D23
56,2245529,Yes,1,30,E2,62.5,12.5,-30.77,No,No,Female,Employee Referral,3,L001,201301,30,2,D9
58,2281509,No,1,30,E2,42.86,42.86,0,Yes,No,Male,Employee Referral,4,L003,122107,28,2,D18
61,2282688,No,4,30,E1,233.33,150,-25,No,No,Female,Direct,1,L002,600020,25,1,D10
62,2282703,No,4,30,E1,233.33,150,-25,No,No,Female,Direct,1,L002,600020,25,1,D3
64,2283257,No,2,0,E2,49.89,49.89,0,No,Yes,Male,Direct,8,L002,600020,34,2,D2
65,2286200,Yes,5,120,E1,42.86,0,-30,No,No,Male,Direct,5,L001,201301,28,7,D11
66,2286297,Yes,105,120,E1,-16.67,-16.67,0,No,No,Female,Direct,3,L006,700027,34,7,D18
67,2286317,No,1,60,E3,25,20.83,-3.33,No,No,Male,Employee Referral,6,L001,201301,31,2,D18
68,2286381,Yes,14,30,,-12.5,-12.5,0,No,No,Male,Direct,3,L006,700027,31,7,D4
69,2286467,No,0,90,E1,33.5,28.64,-3.64,No,No,Male,Employee Referral,3,L001,201301,26,7,D11
70,2286651,Yes,17,30,E2,40,15,-17.86,No,No,Female,Direct,9,L003,122107,37,5,D20
71,2287263,Yes,69,75,E2,57.14,46.43,-6.82,No,No,Male,Employee Referral,6,L004,560034,29,6,D2
72,2287314,Yes,68,60,E1,47.73,42.05,-3.85,No,No,Male,Direct,3,L002,600020,26,1,D12
73,2301543,No,1,60,E2,37.5,-12.5,-36.36,No,No,Male,Direct,2,L001,201301,33,2,D10
74,2302202,Yes,7,30,E2,42.86,42.86,0,No,No,Male,Direct,6,L005,500004,32,2,D23
76,2322849,Yes,19,60,E2,50,30.5,-13,No,No,Male,Agency,10,L002,600020,33,1,D3
77,2322986,Yes,84,60,E2,42.86,42.86,0,No,No,Male,Agency,9,L002,600020,33,1,D13
78,2328123,No,28,30,E1,233.33,233.33,0,No,No,Male,Direct,3,L004,560034,30,6,D6
80,2328443,No,0,30,E3,246.94,206.12,-11.76,No,No,Male,Direct,10,L002,600020,33,1,D14
84,2344484,No,126,30,E1,67.6,74.58,4.17,No,No,Male,Agency,5,L002,600020,27,1,D19
86,2347819,No,2,30,E1,14.75,-50.82,-57.14,No,No,Female,Agency,5,L002,600020,29,1,D16
87,2348220,No,4,30,E1,185.71,90.48,-33.33,No,No,Female,Direct,3,L002,600020,30,1,D20
88,2351625,Yes,0,30,E2,22.73,15.45,-5.93,No,No,Male,Agency,8,L002,600020,37,8,D4
89,2351866,Yes,10,30,E1,-15.32,-15.32,0,No,No,Male,Employee Referral,5,L004,560034,29,6,D10
90,2352045,No,0,30,E1,-10.89,9.14,22.47,No,No,Male,Direct,1,L001,201301,25,2,D8
92,2352237,No,0,0,E1,11.11,-16.67,-25,No,No,Female,Direct,1,L001,201301,24,2,D5
94,2354362,Yes,0,0,E1,11.11,-16.67,-25,No,No,Female,Direct,1,L001,201301,23,2,D16
96,2356737,No,16,30,E1,0,-30.46,-30.46,No,No,Male,Direct,1,L004,560034,24,1,D8
98,2361174,Yes,106,90,E2,38.89,27.31,-8.33,No,No,Male,Direct,7,L004,560034,31,4,D11
99,2364321,Yes,90,45,E3,150,48.5,-40.6,No,No,Female,Direct,10,L004,560034,36,1,D7
100,2364483,Yes,14,30,E1,-13.33,-13.33,0,No,No,Male,Direct,2,L001,201301,29,2,D17
101,2364616,Yes,3,30,E2,49.25,42.86,-4.28,No,No,Male,Direct,5,L002,600020,32,2,D21
102,2365129,No,4,30,,42.86,42.86,0,No,No,Male,Direct,2,L007,682001,24,2,D12
103,2368400,No,0,30,E1,-6.25,-6.25,0,No,No,Male,Direct,0,L002,600020,32,6,D5
104,2368563,No,6,30,E1,35.71,42.86,5.26,No,No,Female,Agency,3,L002,600020,28,1,D12
106,2372840,Yes,21,30,E1,-25.52,-25.52,0,No,No,Male,Direct,1,L002,600020,23,2,D8
108,2377978,No,36,30,E1,77.78,94.44,9.38,No,No,Male,Direct,1,L004,560034,24,1,D19
109,2377993,No,17,30,E1,150,250,40,No,No,Female,Direct,1,L004,560034,27,1,D12
110,2378003,No,0,30,E1,25,62.5,30,No,No,Male,Direct,2,L004,560034,27,1,D12
112,2378097,Yes,34,30,E1,75,75,0,No,No,Male,Direct,2,L002,600020,25,1,D24
113,2378111,No,34,30,E1,0,32.81,32.81,No,No,Male,Direct,3,L004,560034,29,1,D22
114,2378829,No,0,30,E2,42.86,42.86,0,No,No,Male,Direct,3,L004,560034,29,2,D12
115,2382818,Yes,20,30,E2,25.45,12.01,-10.71,No,No,Male,Agency,7,L002,600020,41,8,D14
116,2383202,No,13,30,E1,50,50,0,No,No,Female,Agency,3,L005,500004,32,1,D17
117,2398717,No,2,30,E2,79.57,60.99,-10.34,No,No,Male,Agency,7,L004,560034,33,1,D23
118,2400028,Yes,20,30,E2,157.94,158.93,0.38,No,No,Male,Agency,11,L002,600020,32,1,D18
119,2403871,No,1,30,E1,-45.81,-45.81,0,No,No,Male,Direct,1,L005,500004,26,2,D1
120,2407721,Yes,6,30,E1,12.5,-53.75,-58.89,No,No,Male,Agency,1,L002,600020,27,1,D6
121,2416792,Yes,8,60,E2,33.33,26.67,-5,No,No,Male,Direct,7,L002,600020,29,1,D23
123,2417836,Yes,42,45,E2,7.37,7.37,0,No,No,Male,Employee Referral,4,L004,560034,26,7,D8
124,2419759,Yes,12,60,E1,208.33,208.33,0,No,No,Male,Direct,2,L002,600020,29,1,D4
125,2424526,Yes,16,90,E2,11.11,-22.22,-30,No,No,Male,Agency,9,L002,600020,30,1,D7
128,2437820,Yes,14,60,E3,31.43,20,-8.7,No,No,Male,Employee Referral,4,L001,201301,29,2,D22
129,2440646,Yes,103,45,E2,42.86,42.86,0,No,No,Male,Direct,6,L004,560034,35,6,D17
130,2440672,Yes,69,45,E2,62.5,62.5,0,No,No,Male,Direct,9,L005,500004,36,6,D19
131,2440753,Yes,37,30,E2,62.5,37.5,-15.38,No,No,Male,Direct,6,L005,500004,29,6,D19
132,2441165,No,7,30,E2,30,60,23.08,No,No,Male,Agency,4,L002,600020,31,2,D14
133,2441279,No,2,60,E2,32.53,19.28,-10,No,No,Male,Employee Referral,6,L004,560034,31,4,D7
134,2442101,Yes,38,45,E2,42.86,42.86,0,No,No,Male,Employee Referral,3,L001,201301,27,2,D11
135,2444384,Yes,43,60,E1,37.25,33.33,-2.86,No,No,Male,Direct,3,L002,600020,25,8,D16
136,2444496,Yes,60,60,E2,38.89,11.11,-20,No,No,Male,Direct,6,L004,560034,31,6,D24
137,2445042,No,3,30,E2,42.86,42.86,0,No,No,Male,Direct,5,L001,201301,27,2,D11
139,2452418,Yes,32,30,,45.3,19.66,-17.65,No,Yes,Male,Agency,7,L004,560034,30,6,D15
140,2452436,Yes,23,45,E2,29.11,19.68,-7.3,No,No,Male,Agency,8,L004,560034,34,1,D21
142,2457480,Yes,67,60,E3,25,32.68,6.14,No,No,Male,Agency,6,L001,201301,33,2,D10
143,2458879,No,5,30,E0,22.22,-60,-67.27,No,No,Female,Direct,1,L001,201301,27,1,D11
145,2461027,No,42,60,E2,42.86,42.86,0,No,No,Male,Employee Referral,4,L001,201301,30,2,D7
146,2461696,No,8,30,E1,-30,0,42.86,No,No,Male,Employee Referral,7,L004,560034,30,1,D18
147,2464247,No,7,30,E2,28.3,28.3,0,No,No,Male,Agency,7,L002,600020,29,2,D20
148,2464457,Yes,5,30,E1,208.33,150,-18.92,No,No,Male,Agency,3,L004,560034,28,1,D15
149,2464782,No,10,30,E3,-25,-20.39,6.14,No,No,Male,Agency,13,L002,600020,50,2,D14
150,2468663,No,5,30,E1,51.52,66.67,10,No,No,Male,Direct,1,L004,560034,25,1,D16
151,2468764,No,5,30,E1,51.52,70.45,12.5,No,No,Male,Direct,2,L004,560034,24,1,D21
152,2473555,No,12,30,E2,42.86,42.86,0,No,No,Male,Employee Referral,4,L001,201301,31,2,D19
153,2474614,No,15,0,E3,-11.97,-11.97,0,No,Yes,Male,Employee Referral,11,L002,600020,35,1,D15
154,2474728,Yes,45,60,E2,25,18.75,-5,No,No,Male,Direct,7,L004,560034,35,4,D7
155,2474750,No,10,30,E1,250,250,0,No,No,Male,Direct,1,L002,600020,23,1,D24
158,2478398,Yes,7,30,E2,323.08,314.53,-2.02,No,No,Male,Agency,4,L001,201301,31,2,D24
160,2478695,Yes,7,30,E1,25,17.19,-6.25,No,No,Male,Employee Referral,7,L004,560034,31,1,D12
161,2479005,Yes,36,30,E1,133.33,75,-25,No,No,Female,Agency,3,L002,600020,27,1,D19
162,2480992,No,2,30,E2,30,44,10.77,No,No,Male,Direct,7,L001,201301,31,2,D8
163,2481514,No,1,0,E1,-14.44,22.22,42.86,No,No,Female,Employee Referral,5,L002,600020,30,1,D5
164,2483538,Yes,25,30,E2,-48.05,42.86,175,No,No,Male,Direct,5,L001,201301,30,2,D9
165,2537835,No,6,30,E2,-40.82,-15.45,42.86,No,No,Male,Agency,6,L002,600020,29,1,D2
166,2537925,Yes,47,60,E3,45.83,51.04,3.57,No,No,Male,Agency,10,L001,201301,34,2,D17
167,2537986,Yes,21,30,E3,25,31.25,5,No,No,Female,Employee Referral,16,L006,700027,40,2,D18
169,2544512,Yes,11,30,E2,30,80,38.46,No,No,Male,Agency,4,L002,600020,33,2,D11
170,2556458,No,4,30,E1,-11.56,-11.56,0,No,No,Female,Employee Referral,1,L001,201301,24,2,D18
172,2561022,No,7,30,E1,242.86,42.86,-58.33,No,No,Male,Direct,1,L001,201301,30,2,D17
173,2561128,No,5,30,E1,42.86,-7.14,-35,No,No,Male,Direct,6,L003,122107,32,3,D23
175,2564986,No,4,30,E2,42.86,42.86,0,No,No,Male,Agency,5,L001,201301,37,2,D20
177,2569520,No,5,30,,-48.25,-48.25,0,No,No,Male,Employee Referral,9,L002,600020,31,2,D20
178,2575776,No,11,30,E1,327.35,241.88,-20,No,No,Male,Direct,3,L002,600020,26,1,D20
179,2576352,No,1,30,E2,42.86,42.86,0,No,No,Male,Direct,8,L002,600020,31,2,D1
180,2586163,No,2,30,E1,63.2,70.62,4.55,No,No,Male,Agency,5,L002,600020,28,1,D2
181,2586868,Yes,48,30,E3,30,80,38.46,No,No,Male,Direct,7,L004,560034,31,2,D10
182,2590178,Yes,74,90,E1,40.15,-1.52,-29.73,No,Yes,Male,Direct,8,L004,560034,35,1,D4
183,2590903,Yes,4,30,E2,3.34,3.34,0,No,No,Female,Direct,6,L002,600020,31,8,D16
185,2591263,No,3,30,E3,-24.24,-24.24,0,No,No,Male,Direct,13,L002,600020,36,2,D8
187,2591495,No,31,30,E1,-25.71,42.86,92.31,No,Yes,Male,Employee Referral,3,L002,600020,27,1,D14
188,2593939,No,15,45,E1,65.96,61.49,-2.69,No,No,Male,Direct,4,L002,600020,26,1,D6
189,2594486,Yes,30,30,E2,-28.57,42.86,100,No,No,Male,Direct,5,L002,600020,33,2,D7
190,2594579,No,1,30,E1,-14.97,42.86,68,No,No,Female,Direct,2,L003,122107,27,2,D5
191,2598011,Yes,8,30,E2,-24.81,42.86,90,No,No,Male,Direct,5,L002,600020,36,2,D8
192,2598184,No,3,45,E1,79.17,79.17,0,No,No,Female,Direct,3,L001,201301,27,5,D3
193,2600880,No,0,30,E3,80.95,52.38,-15.79,No,No,Male,Employee Referral,13,L004,560034,37,4,D9
195,2605197,No,1,60,E1,40.35,31.58,-6.25,No,No,Female,Employee Referral,1,L001,201301,25,1,D6
196,2609241,No,44,30,E2,69.23,53.85,-9.09,No,No,Female,Agency,7,L004,560034,33,4,D17
197,2609287,No,19,60,E3,-31.82,-9.09,33.33,No,No,Male,Direct,10,L004,560034,33,1,D20
198,2613516,No,3,30,E2,16.13,-15.81,-27.5,No,No,Female,Employee Referral,9,L004,560034,33,1,D1
199,2613742,No,40,30,E1,233.33,233.33,0,No,No,Female,Agency,3,L004,560034,26,4,D23
200,2615966,No,11,30,E1,-29.2,-29.2,0,No,No,Female,Employee Referral,3,L005,500004,26,5,D13
201,2618791,No,1,30,E2,33.33,20,-10,No,No,Female,Direct,6,L001,201301,37,7,D11
203,2635381,Yes,20,30,E1,71.43,50,-12.5,No,No,Male,Employee Referral,3,L004,560034,27,1,D2
204,2635429,No,1,30,E1,42.86,42.86,0,No,No,Male,Employee Referral,3,L001,201301,34,2,D6
205,2635526,Yes,7,30,E1,42.83,42.83,0,No,No,Male,Employee Referral,4,L001,201301,27,2,D8
206,2635705,Yes,15,30,E2,8.33,12.75,4.07,No,No,Male,Agency,9,L002,600020,33,1,D20
208,2635749,No,35,30,E1,215.32,170.27,-14.29,No,No,Male,Direct,3,L002,600020,26,1,D21
210,2778998,No,17,30,E1,233.33,191.67,-12.5,No,No,Male,Agency,4,L002,600020,27,1,D4
211,2780352,Yes,58,30,E3,30.43,30.43,0,No,No,Male,Agency,10,L004,560034,34,1,D4
213,2780669,Yes,29,60,,33.33,266.67,175,No,No,Male,Agency,9,L001,201301,32,1,D23
215,2780903,Yes,69,90,E2,32.53,32.53,0,No,No,Male,Direct,3,L001,201301,26,2,D6
216,2781322,Yes,6,90,E2,-11.69,-11.69,0,No,No,Male,Employee Referral,7,L002,600020,32,4,D14
217,2786502,No,0,30,E2,30.26,35.26,3.84,No,No,Male,Direct,6,L001,201301,34,2,D14
218,2790302,Yes,1,30,E3,-12.2,-12.2,0,No,No,Male,Employee Referral,10,L005,500004,36,2,D16
219,2793776,No,7,90,E2,43.79,36.6,-5,No,No,Male,Agency,7,L004,560034,32,4,D18
221,2794614,No,0,30,E2,72.41,72.41,0,No,No,Male,Agency,4,L004,560034,32,2,D22
222,2795222,Yes,7,30,E2,-24.6,-24.6,0,No,No,Male,Direct,5,L002,600020,31,4,D21
223,2802356,No,1,30,E1,37.5,-50,-63.64,No,No,Male,Employee Referral,1,L001,201301,24,2,D18
224,2804650,Yes,17,30,E1,23.08,30.77,6.25,No,No,Male,Employee Referral,2,L004,560034,27,1,D8
227,2807929,No,86,30,E1,-13.19,-13.19,0,No,No,Male,Direct,3,L002,600020,28,4,D17
228,2814312,Yes,51,90,E2,42.84,42.84,0,No,No,Male,Agency,6,L001,201301,29,2,D7
229,2814340,Yes,29,45,E3,37.06,31.58,-4,No,No,Male,Employee Referral,5,L002,600020,32,2,D12
230,2814452,Yes,1,30,E2,37.5,35,-1.82,No,No,Male,Employee Referral,3,L004,560034,30,2,D14
231,2819665,Yes,26,30,E2,42.85,42.85,0,No,No,Male,Employee Referral,8,L001,201301,31,2,D1
232,2819712,Yes,0,30,E2,15.38,15.38,0,No,No,Male,Direct,10,L004,560034,36,8,D16
233,2823905,No,50,60,E2,42.85,42.85,0,No,Yes,Male,Employee Referral,5,L001,201301,29,2,D1
234,2824103,Yes,39,30,E1,-31.06,-1.52,42.86,No,No,Male,Agency,5,L005,500004,29,1,D3
235,2826712,Yes,57,60,E2,34.62,25,-7.14,No,No,Male,Employee Referral,7,L001,201301,31,2,D6
236,2828770,No,0,30,E2,42.85,42.85,0,No,No,Male,Employee Referral,4,L002,600020,26,2,D3
237,2828841,No,10,30,E2,42.85,42.85,0,No,No,Male,Employee Referral,4,L001,201301,29,2,D20
239,2834484,Yes,0,30,E1,-12,-12,0,No,No,Male,Agency,1,L003,122107,24,2,D23
240,2834603,No,3,90,E1,-16.67,-16.67,0,No,No,Male,Direct,4,L002,600020,27,4,D16
241,2839728,No,5,60,E2,-17.07,-14.63,2.94,No,No,Male,Employee Referral,12,L001,201301,31,2,D16
242,2840929,Yes,32,30,E2,57.14,114.29,36.36,No,No,Male,Direct,4,L002,600020,27,2,D1
243,2841169,Yes,93,90,E2,44.44,33.33,-7.69,No,Yes,Male,Employee Referral,3,L002,600020,28,2,D3
244,2845533,Yes,30,30,E1,-16.3,19.57,42.86,No,No,Male,Agency,3,L005,500004,25,1,D12
245,2845929,Yes,55,30,,37.5,25,-9.09,No,Yes,Female,Employee Referral,3,L004,560034,25,2,D15
246,2846059,No,39,45,E3,33.33,236.67,152.5,No,No,Male,Agency,9,L005,500004,32,1,D4
248,2850795,No,12,30,E1,-54.04,-34.34,42.86,No,Yes,Male,Employee Referral,6,L002,600020,44,4,D9
249,2850802,No,3,30,E2,15.55,10.29,-4.55,No,No,Male,Direct,7,L002,600020,29,1,D19
251,2861481,No,3,30,E1,114.29,90.48,-11.11,No,No,Male,Agency,3,L002,600020,26,1,D13
252,2861532,No,23,30,E1,212.5,160.42,-16.67,No,Yes,Male,Agency,2,L002,600020,30,1,D15
254,2861816,No,11,60,E2,69.68,58.37,-6.67,No,No,Male,Direct,6,L002,600020,34,1,D6
255,2861873,No,0,30,E2,-36.36,-36.36,0,No,No,Male,Direct,9,L002,600020,32,7,D13
256,2861938,Yes,3,60,E3,35,45,7.41,No,No,Male,Direct,8,L008,411002,30,2,D6
257,2863789,No,1,30,E2,29.41,35.29,4.55,No,No,Male,Employee Referral,6,L001,201301,33,7,D20
258,2865940,Yes,71,60,E3,42.85,42.85,0,No,No,Male,Employee Referral,6,L001,201301,30,2,D13
260,2866433,Yes,40,60,E2,57.14,39.29,-11.36,No,No,Female,Direct,7,L004,560034,32,4,D18
262,2926304,No,4,45,E2,41.03,21.79,-13.64,No,No,Male,Direct,7,L004,560034,34,4,D13
263,2930426,Yes,5,45,E1,-25,-43.75,-25,Yes,No,Male,Direct,2,L002,600020,27,1,D22
265,2945577,No,56,90,E2,66.08,55,-6.67,No,No,Male,Agency,8,L004,560034,30,4,D7
267,3029497,No,1,30,E2,50,58.33,5.56,No,No,Male,Direct,3,L001,201301,27,2,D21
268,3029512,Yes,2,60,E2,42.86,42.86,0,No,No,Female,Direct,8,L002,600020,31,2,D12
269,3030928,Yes,15,60,E3,42.85,42.85,0,No,No,Male,Employee Referral,5,L001,201301,30,2,D8
271,3034334,Yes,37,30,E1,180.9,124.72,-20,No,No,Female,Agency,3,L002,600020,26,1,D20
272,3034476,Yes,6,30,E3,53.85,50,-2.5,No,No,Male,Employee Referral,5,L001,201301,32,2,D3
274,3034980,No,0,30,E2,36.36,60,17.33,No,No,Male,Direct,6,L004,560034,32,2,D8
275,3037418,No,40,30,E1,56.86,27.45,-18.75,No,No,Male,Direct,4,L004,560034,34,7,D21
277,3040819,No,18,30,E1,280.95,280.95,0,No,No,Male,Direct,2,L002,600020,26,1,D12
279,3046539,No,12,30,E1,170.27,75.68,-35,No,No,Male,Employee Referral,2,L004,560034,29,1,D10
280,3046652,Yes,1,60,E1,60,26,-21.25,No,No,Male,Agency,4,L001,201301,28,1,D1
282,3108736,Yes,5,30,E3,42.59,42.59,0,No,No,Male,Employee Referral,9,L001,201301,42,2,D11
283,3110300,Yes,15,30,E1,42.83,42.83,0,No,No,Male,Employee Referral,2,Null,600018,26,2,D16
284,3120254,Yes,39,90,E2,46.24,46.24,0,No,No,Male,Agency,6,L002,600020,37,1,D22
285,3188371,Yes,1,30,E1,44.44,-41.33,-59.38,No,No,Female,Employee Referral,1,L001,201301,24,2,D7
286,3200275,No,12,30,E2,48.15,33.33,-10,Yes,Yes,Male,Agency,4,L005,500004,26,1,D18
287,3200724,No,18,60,E2,45.45,39.39,-4.17,Yes,No,Male,Direct,8,L001,201301,32,6,D18
288,3203880,No,7,30,E1,114.29,117.86,1.67,No,No,Male,Employee Referral,2,L004,560034,25,1,D10
290,3204472,Yes,24,30,E1,-33.33,-38.89,-8.33,No,No,Male,Employee Referral,6,L002,600020,26,1,D6
291,3211382,No,4,30,,42.85,42.85,0,No,No,Male,Agency,4,L004,560034,30,2,D22
292,3211556,Yes,66,60,E3,-19.23,15.38,42.86,No,No,Male,Employee Referral,13,L001,201301,35,1,D1
293,3215106,Yes,4,30,E1,203.51,184.54,-6.25,No,No,Male,Direct,1,L002,600020,26,1,D21
294,3215514,No,3,30,E1,-38.4,-12,42.86,No,No,Male,Employee Referral,3,L002,600020,28,4,D15
295,3215757,Yes,21,30,E1,233.33,127.27,-31.82,No,No,Male,Agency,5,L002,600020,27,1,D21
296,3221299,Yes,68,30,E2,44.44,0,-30.77,No,Yes,Female,Direct,3,L005,500004,24,2,D16
298,3225344,Yes,3,30,E3,32.78,28.63,-3.13,No,Yes,Male,Agency,12,L004,560034,35,4,D14
300,3225955,Yes,62,30,E1,40.68,34.69,-4.26,No,No,Male,Employee Referral,4,L002,600020,27,1,D21
301,3225969,Yes,15,30,E2,42.85,42.85,0,No,Yes,Male,Employee Referral,5,L002,600020,30,2,D11
303,3226137,Yes,31,30,E1,40.68,-10.21,-36.17,No,No,Male,Direct,2,L002,600020,27,1,D9
304,3226180,Yes,84,45,E2,42.84,42.84,0,No,No,Male,Direct,5,L005,500004,35,2,D21
306,3229762,No,42,30,E1,50.5,99,32.23,No,No,Male,Agency,3,L009,400001,27,4,D24
307,3234247,No,17,60,E3,57.14,257.14,127.27,No,No,Male,Direct,8,L004,560034,35,2,D17
310,3238748,No,0,90,E3,-21.54,-21.54,0,No,No,Male,Direct,13,L002,600020,40,1,D7
311,3239288,No,10,30,E1,42.83,42.83,0,No,No,Male,Employee Referral,2,L001,201301,27,2,D20
312,3243075,Yes,8,30,E2,-3.23,-3.23,0,No,No,Female,Agency,6,L002,600020,29,1,D20
313,3244438,Yes,55,60,E3,42.85,42.85,0,No,No,Male,Employee Referral,6,L001,201301,32,2,D5
314,3245861,Yes,25,30,E2,42.85,42.85,0,No,Yes,Male,Employee Referral,4,L002,600020,28,2,D4
315,3245971,Yes,10,30,E1,27.78,20,-6.09,No,No,Female,Employee Referral,2,L002,600020,26,1,D21
316,3250021,No,3,30,E1,-20.63,42.86,80,No,Yes,Male,Agency,1,L002,600020,24,1,D6
317,3250029,Yes,1,30,E1,-35.45,-7.79,42.86,No,No,Male,Agency,3,L002,600020,26,1,D6
318,3250143,Yes,50,30,E1,-27.78,-27.78,0,No,No,Female,Agency,8,L002,600020,33,3,D9
320,3250941,No,2,45,E2,37.36,30.49,-5,No,No,Male,Agency,7,L002,600020,32,4,D23
321,3251306,No,28,30,E2,42.84,42.84,0,No,Yes,Male,Employee Referral,7,L002,600020,37,2,D1
